delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/1/2026,1:00,N,HB_BUSAVG,20.84
1/1/2026,1:00,N,HB_HOUSTON,20.53
1/1/2026,1:00,N,HB_HUBAVG,21
1/1/2026,1:00,N,HB_NORTH,20.77
1/1/2026,1:00,N,HB_PAN,20.96
1/1/2026,1:00,N,HB_SOUTH,20.4
1/1/2026,1:00,N,HB_WEST,22.29
1/1/2026,1:00,N,LZ_AEN,20.7
1/1/2026,1:00,N,LZ_CPS,20.56
1/1/2026,1:00,N,LZ_HOUSTON,20.51
1/1/2026,1:00,N,LZ_LCRA,20.59
1/1/2026,1:00,N,LZ_NORTH,20.75
1/1/2026,1:00,N,LZ_RAYBN,20.83
1/1/2026,1:00,N,LZ_SOUTH,20.6
1/1/2026,1:00,N,LZ_WEST,25.96
1/1/2026,2:00,N,HB_BUSAVG,21.1
1/1/2026,2:00,N,HB_HOUSTON,20.8
1/1/2026,2:00,N,HB_HUBAVG,21.32
1/1/2026,2:00,N,HB_NORTH,20.97
1/1/2026,2:00,N,HB_PAN,21.41
1/1/2026,2:00,N,HB_SOUTH,20.66
1/1/2026,2:00,N,HB_WEST,22.85
1/1/2026,2:00,N,LZ_AEN,20.81
1/1/2026,2:00,N,LZ_CPS,20.76
1/1/2026,2:00,N,LZ_HOUSTON,20.79
1/1/2026,2:00,N,LZ_LCRA,20.75
1/1/2026,2:00,N,LZ_NORTH,20.98
1/1/2026,2:00,N,LZ_RAYBN,21.02
1/1/2026,2:00,N,LZ_SOUTH,20.88
1/1/2026,2:00,N,LZ_WEST,27.13
1/1/2026,3:00,N,HB_BUSAVG,21.34
1/1/2026,3:00,N,HB_HOUSTON,20.99
1/1/2026,3:00,N,HB_HUBAVG,21.55
1/1/2026,3:00,N,HB_NORTH,21.23
1/1/2026,3:00,N,HB_PAN,21.82
1/1/2026,3:00,N,HB_SOUTH,20.76
1/1/2026,3:00,N,HB_WEST,23.24
1/1/2026,3:00,N,LZ_AEN,20.99
